file_id,pdf_name,election_type,ballot_type,total_is_valid,candidate_sum_valid,both_valid,failure_modes,,
0060c484129df8a47546c71de468e96d,หลุมข้าว น.19.pdf,normal,district,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=239, valid_votes=169)",both valid,194
0060c484129df8a47546c71de468e96d,หลุมข้าว น.19.pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=167, valid_votes=172)",total record,606
01ad8a407a5e0b7c3151323002d46bc6,น.8 ต.ท่าหลวง ส.ส.5_18.pdf,normal,district,TRUE,TRUE,TRUE,,,
01d5f3c349061edd8c1206899b46fcc4,น.4 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,normal,district,TRUE,FALSE,FALSE,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=175, valid_votes=302)",,
03ef453bd1368da9b53fde198f42d0c7,ทต.โนนสูง หน่วยที่ 1 .pdf,normal,district,TRUE,TRUE,TRUE,null_header_field:moo,,
03ef453bd1368da9b53fde198f42d0c7,ทต.โนนสูง หน่วยที่ 1 .pdf,normal,partylist,TRUE,FALSE,FALSE,"null_header_field:moo | candidate_sum_fail (sum=277, valid_votes=275)",,
0462ff708fc1f7d70cc4c1ccde70eead,ช.2.pdf,advance_out_of_district,district,FALSE,FALSE,FALSE,"ocr_missed_candidates:[1, 2, 4, 5, 6, 7, 8]",,
0462ff708fc1f7d70cc4c1ccde70eead,ช.2.pdf,advance_out_of_district,partylist,FALSE,FALSE,FALSE,"ballot_math_fail (total=641, valid+void+spoiled=668) | candidate_sum_fail (sum=614, valid_votes=641)",,
04ff4e1cf1b94d7329ac4efa5fcdafca,สส.5ทับ18.pdf,normal,district,TRUE,TRUE,TRUE,,,
05e2804c8fc83f7ec0d5ac1cd9aa42e3,น.9 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,normal,district,TRUE,FALSE,FALSE,"ocr_missed_candidates:[7, 8, 9] | candidate_sum_fail (sum=85, valid_votes=120)",,
06262dd43963995e2e11c892735cb75e,ส.ส.5ทับ18 (บช).pdf,normal,partylist,FALSE,FALSE,FALSE,,,
06a5458d5c817219aaaf393768148e22,หลุมข้าว น.11.pdf,normal,district,FALSE,FALSE,FALSE,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots | ocr_extra_candidates:[20],,
06a5458d5c817219aaaf393768148e22,หลุมข้าว น.11.pdf,normal,partylist,FALSE,FALSE,FALSE,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,,
06e964224ba66babbb7a3bf073794fe4,น.11 ต.สัมฤทธิ์ ส.ส.5_18.pdf,normal,district,FALSE,FALSE,FALSE,"ballot_math_fail (total=178, valid+void+spoiled=282) | candidate_sum_fail (sum=223, valid_votes=247)",,
