candidate_number,party,name,withdrawn,score
4,เพื่อไทย,นายสมเกียรติ ตันดิลกตระกูล,FALSE,46479
3,พลังประชารัฐ,นายทวิรัฐ รัตนเศรษฐ,FALSE,29118
1,ก้าวไกล,นายเสนีย์ หาญศรี,FALSE,15653
5,ภูมิใจไทย,นายจักรกฤช ผาสุขมูล,FALSE,1611
6,รวมไทยสร้างชาติ,นางอุบลวรรณ์ วิศวนาวิน,FALSE,1573
9,ประชาธิปัตย์,นายรุ่งโรจน์ วรชมพู,FALSE,351
7,ไทยพร้อม,นายวสันติธร วัฒนชัยเวช,FALSE,310
11,ประชาไทย,นางสาวพิมนกาลล์ ธีร์ก้านพลูกลาง,FALSE,159
12,ประชากรไทย,นายนายวิชิต ขอชิดกลาง,FALSE,158
8,ชาติพัฒนากล้า,นายปิยเมษฐ ปราณีตพลกรัง,FALSE,156
10,ไทยภักดี,นายบุญหลาย สมศรี,FALSE,94
2,เสรีรวมไทย,นายดิเรก คงสูงเนิน,TRUE,0
