ballot_type,number,ocr_votes,name,party,official_votes,abs_error,signed_error,rel_error_pct
district,1,40381.0,สมเกียรติ ตันดิลกตระกูล,เพื่อไทย,38845,1536.0,1536.0,3.95
district,2,1153.0,สุกิจ อ่อนขาว,ประชาธิปัตย์,831,322.0,322.0,38.75
district,4,16119.0,กฤศวัฒน์ เลิศวิริยาภรณ์,ประชาชน,13546,2573.0,2573.0,18.99
district,5,1373.0,ธนวัฒน์ ผาสุขมูล,กล้าธรรม,595,778.0,778.0,130.76
district,6,1792.0,วีระพงษ์ แดนพิมาย,เศรษฐกิจ,1490,302.0,302.0,20.27
district,7,31594.0,ทวิรัฐ รัตนเศรษฐ,ภูมิใจไทย,30864,730.0,730.0,2.37
district,8,561.0,ชวัลลักษณ์ ทองสันเทียะ,ไทยภักดี,302,259.0,259.0,85.76
district,9,9990.0,พิมนกาลล์ ธีร์ก้านภูกลาง,พลังประชารัฐ,1171,8819.0,8819.0,753.12
partylist,1,5658.0,,ไทยทรัพย์ทวี,3264,2394.0,2394.0,73.35
partylist,2,2681.0,,เพื่อชาติไทย,2075,606.0,606.0,29.2
partylist,3,1097.0,,ใหม่,297,800.0,800.0,269.36
partylist,4,773.0,,มิติใหม่,341,432.0,432.0,126.69
partylist,5,885.0,,รวมใจไทย,617,268.0,268.0,43.44
partylist,6,2368.0,,รวมไทยสร้างชาติ,1517,851.0,851.0,56.1
partylist,7,7491.0,,พลวัต,1949,5542.0,5542.0,284.35
partylist,8,474.0,,ประชาธิปไตยใหม่,524,50.0,-50.0,9.54
partylist,9,17166.0,,เพื่อไทย,18807,1641.0,-1641.0,8.73
partylist,10,509.0,,ทางเลือกใหม่,448,61.0,61.0,13.62
partylist,11,3881.0,,เศรษฐกิจ,4183,302.0,-302.0,7.22
partylist,12,400.0,,เสรีรวมไทย,356,44.0,44.0,12.36
partylist,13,445.0,,รวมพลังประชาชน,464,19.0,-19.0,4.09
partylist,14,75.0,,ท้องที่ไทย,58,17.0,17.0,29.31
partylist,15,101.0,,อนาคตไทย,71,30.0,30.0,42.25
partylist,16,256.0,,พลังเพื่อไทย,219,37.0,37.0,16.89
partylist,17,128.0,,ไทยชนะ,124,4.0,4.0,3.23
partylist,18,36.0,,พลังสังคมใหม่,27,9.0,9.0,33.33
partylist,19,47.0,,สังคมประชาธิปไตยไทย,34,13.0,13.0,38.24
partylist,20,44.0,,ฟิวชัน,26,18.0,18.0,69.23
partylist,21,67.0,,ไทรวมพลัง,56,11.0,11.0,19.64
partylist,22,56.0,,ก้าวอิสระ,29,27.0,27.0,93.1
partylist,23,83.0,,ปวงชนไทย,59,24.0,24.0,40.68
partylist,24,65.0,,วิชชั่นใหม่,56,9.0,9.0,16.07
partylist,25,33.0,,เพื่อชีวิตใหม่,29,4.0,4.0,13.79
partylist,26,75.0,,คลองไทย,45,30.0,30.0,66.67
partylist,27,2511.0,,ประชาธิปัตย์,2005,506.0,506.0,25.24
partylist,28,142.0,,ไทยก้าวหน้า,117,25.0,25.0,21.37
partylist,29,5126.0,,ไทยภักดี,438,4688.0,4688.0,1070.32
partylist,30,503.0,,แรงงานสร้างชาติ,322,181.0,181.0,56.21
partylist,31,299.0,,ประชากรไทย,214,85.0,85.0,39.72
partylist,32,193.0,,ครูไทยเพื่อประชาชน,115,78.0,78.0,67.83
partylist,33,116.0,,ประชาชาติ,107,9.0,9.0,8.41
partylist,34,126.0,,สร้างอนาคตไทย,125,1.0,1.0,0.8
partylist,35,160.0,,รักชาติ,155,5.0,5.0,3.23
partylist,36,307.0,,ไทยพร้อม,278,29.0,29.0,10.43
partylist,37,22082.0,,ภูมิใจไทย,22285,203.0,-203.0,0.91
partylist,38,385.0,,พลังธรรมใหม่,284,101.0,101.0,35.56
partylist,39,48.0,,กรีน,49,1.0,-1.0,2.04
partylist,40,75.0,,ไทยธรรม,70,5.0,5.0,7.14
partylist,41,169.0,,แผ่นดินธรรม,30,139.0,139.0,463.33
partylist,42,117.0,,กล้าธรรม,115,2.0,2.0,1.74
partylist,43,574.0,,พลังประชารัฐ,175,399.0,399.0,228.0
partylist,44,427.0,,โอกาสใหม่,455,28.0,-28.0,6.15
partylist,45,130.0,,เป็นธรรม,54,76.0,76.0,140.74
partylist,46,27582.0,,ประชาชน,22017,5565.0,5565.0,25.28
partylist,47,231.0,,ประชาไทย,156,75.0,75.0,48.08
partylist,48,341.0,,ไทยสร้างไทย,297,44.0,44.0,14.81
partylist,49,207.0,,ไทยก้าวใหม่,178,29.0,29.0,16.29
partylist,50,11.0,,ประชาอาสาชาติ,4,7.0,7.0,175.0
partylist,51,57.0,,พร้อม,56,1.0,1.0,1.79
partylist,52,32.0,,เครือข่ายชาวนาแห่งประเทศไทย,25,7.0,7.0,28.0
partylist,53,3890.0,,ไทยพิทักษ์ธรรม,18,3872.0,3872.0,21511.11
partylist,54,6393.0,,ความหวังใหม่,36,6357.0,6357.0,17658.33
partylist,55,1886.0,,ไทยรวมไทย,27,1859.0,1859.0,6885.19
partylist,56,1897.0,,เพื่อบ้านเมือง,36,1861.0,1861.0,5169.44
partylist,57,1936.0,,พลังไทยรักชาติ,87,1849.0,1849.0,2125.29
