file_id,pdf_name,processed_at,total_pages,election_type,ballot_type,district,subdistrict,moo,station_number,eligible_voters,voter_turnout,total_ballots,valid_votes,void_ballots,spoiled_ballots,total_is_valid,candidate_sum_valid,validation_message,candidate_sum_message,failure_modes,failure_mode_count,imputed_fields,count_tier,meta_tier,turnout_rate,void_rate,spoil_rate
fd6e8ee70887f1339ea20b9ef162304c,ทต.โนนสูง หน่วยที่ 10.pdf,2026-05-09T13:56:12.707976,3,normal,partylist,อำเภอโนนสูง,ตำบลโนนสูง,,10.0,,547.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,"null_header_field:moo | null_header_field:eligible_voters | null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots | ocr_missed_candidates:[53, 54, 55, 56, 57]",7,,C,M0,,,
06a5458d5c817219aaaf393768148e22,หลุมข้าว น.11.pdf,2026-05-09T13:43:47.034503,2,normal,district,อำเภอโนนสูง,ตำบลหลุมข้าว,9.0,11.0,751.0,463.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots | ocr_extra_candidates:[20],5,,C,M0,0.6165113182423435,,
2cee8c7723126fc0e303dd594987ae11,หน่วยที่ 7 ตำบลจันอัด.pdf,2026-05-09T13:19:22.482499,4,normal,partylist,อำเภอโนนสูง,ตำบลจันอัด,7.0,,478.0,316.0,316.0,269.0,25.0,24.0,False,False,Ballot math mismatch: 269+25+24=318 ≠ 316,Candidate sum mismatch: sum=202 ≠ valid_votes=269,"null_header_field:station_number | ocr_missed_candidates:[7, 8, 9] | ocr_extra_candidates:[70, 81, 92] | ballot_math_fail (total=316, valid+void+spoiled=318) | candidate_sum_fail (sum=202, valid_votes=269)",5,,C,M1,0.6610878661087866,0.07911392405063292,0.0759493670886076
621650be07d7f7a7861cd2c995334ca1,สส.5ทับ18.pdf,2026-05-09T13:14:13.505283,2,normal,district,อำเภอเฉลิมพระเกียรติ,ตำบลท่าช้าง,8.0,5.0,322.0,281.0,201.0,,,,False,False,Ballot math mismatch: 0+0+0=0 ≠ 201,valid_votes not available for comparison,"null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots | ocr_extra_candidates:[20] | ballot_math_fail (total=201, valid+void+spoiled=0)",5,,C,M0,0.8726708074534162,,
9285377ca5b4959b50fd01cdc48c7099,ทต.ตลาดแค น.3.pdf,2026-05-06T15:37:34.869828,2,normal,district,อำเภอโนนสูง,ตำบลธารปราสาท,2.0,3.0,,303.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:eligible_voters | null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,5,,C,M0,,,
e725f7e0a5b0b98cc81c64259238709d,น.7 ต.ชีวาน ส.ส.5_18 (บช).pdf,2026-05-06T10:36:25.923494,4,normal,partylist,อำเภอพิมาย,ตำบลชีวาน,,,336.0,220.0,220.0,202.0,11.0,7.0,False,False,Ballot math mismatch: 202+11+0=213 ≠ 220,Candidate sum mismatch: sum=222 ≠ valid_votes=202,"null_header_field:station_number | null_header_field:moo | null_header_field:spoiled_ballots | ballot_math_fail (total=220, valid+void+spoiled=213) | candidate_sum_fail (sum=222, valid_votes=202)",5,spoiled_ballots,B,M1,0.6547619047619048,0.05,0.031818181818181815
b7470c7c65929282046d25b5216030cb,ตำบลธารปราสาท หน่วยที่ 8 หมู่ที่ 10.pdf,2026-05-06T12:17:36.906345,1,normal,district,อำเภอโนนสูง,ตำบลธารปราสาท,10.0,3.0,324.0,209.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,"null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots | ocr_missed_candidates:[7, 8, 9]",5,,C,M0,0.6450617283950617,,
25aa62daeb3117304066272464179915,ดอนชมพู 6.pdf,2026-05-06T12:02:44.653388,4,normal,partylist,อำเภอโนนสูง,ตำบลดอนชมพู,6.0,6.0,360.0,,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:voter_turnout | null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,5,,C,M0,,,
60b793a6e0a51c5400a8c3a416ffcd27,น.5 ต.กระเบื้องใหญ่ ส.ส.5_18.pdf,2026-05-06T10:26:45.885363,2,normal,district,อำเภอพิมาย,ตำบลกระเบื้องใหญ่,6.0,5.0,432.0,310.0,310.0,,,,False,False,Ballot math mismatch: 0+0+0=0 ≠ 310,valid_votes not available for comparison,"null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots | ballot_math_fail (total=310, valid+void+spoiled=0)",4,,C,M0,0.7175925925925926,,
4d5a069fbfdff3caeabca03540c1ff33,โตนด น.2.pdf,2026-05-06T14:08:57.010211,2,normal,district,อำเภอโนนสูง,ตำบลโตนด,2.0,2.0,448.0,334.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,4,,C,M0,0.7455357142857143,,
5821db70132f15cecc2384d634f608f1,ตำบลธารปราสาท หน่วยที่ 5 หมู่ที่ 7.pdf,2026-05-06T12:15:15.308852,2,normal,district,อำเภอโนนสูง,ตำบลธารปราสาท,7.0,5.0,519.0,362.0,362.0,,,,False,False,Ballot math mismatch: 2737+0+0=2737 ≠ 362,Candidate sum mismatch: sum=337 ≠ valid_votes=2737,"null_header_field:void_ballots | null_header_field:spoiled_ballots | ballot_math_fail (total=362, valid+void+spoiled=2737) | candidate_sum_fail (sum=337, valid_votes=2737)",4,,C,M0,0.697495183044316,,
190d6d0f36efd27ad5d87ca33aa82497,ขามเฒ่า น.4.pdf,2026-05-06T11:42:29.364789,4,normal,partylist,อำเภอโนนสูง,ตำบลขามเฒ่า,4.0,4.0,479.0,315.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,4,,C,M0,0.6576200417536534,,
e3eeca177743e4c1706592a14bb93e88,ตำบลธารปราสาท หน่วยที่ 13 หมู่ที่ 16.pdf,2026-05-06T12:10:29.750402,2,normal,district,อำเภอโนนสูง,ตำบลธารปราสาท,16.0,13.0,248.0,172.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,4,,C,M0,0.6935483870967742,,
b54428d67180cbc697edfc2f433958f0,หลุมข้าว น.9.pdf,2026-05-06T13:46:28.506662,4,normal,partylist,อำเภอโนนสูง,ตำบลหลุมข้าว,7.0,9.0,413.0,273.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,4,,C,M0,0.6610169491525424,,
a48654efcc4c764289066f808d1281a5,น.6 ต.ชีวาน ส.ส.5_18.pdf,2026-05-06T10:36:01.690438,2,normal,district,อำเภอพิมาย,ตำบลชีวาน,6.0,6.0,680.0,466.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,4,,C,M0,0.6852941176470588,,
94c895d1f78db1e25a52740f280bac16,ด่านคล่า น. 3 .pdf,2026-05-06T14:52:13.253540,4,normal,partylist,อำเภอโนนสูง,ตำบลด่านคล้า,3.0,3.0,330.0,225.0,,,,,False,False,total_ballots not found in header,valid_votes not available for comparison,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots | null_header_field:spoiled_ballots,4,,C,M0,0.6818181818181818,,
